#       time             L^2_Ham             L^2_Mom
 246.5000000    2.8003645485e+02    3.5866468882e+02
 247.0000000    2.5269863009e+02    3.4514231096e+02
 247.5000000    2.5228010339e+02    3.6535743001e+02
 248.0000000    2.3809668301e+02    3.5752893721e+02
 248.5000000    2.3868994798e+02    3.4932933903e+02
 249.0000000    2.3544955621e+02    4.9065396973e+02
 249.5000000    3.4321701360e+02    3.5598484709e+02
 250.0000000    3.4583699739e+02    3.5497987646e+02
 250.5000000    4.8000036415e+01    7.9864492056e+01
 251.0000000    4.5060349057e+01    1.0117845522e+02
 251.5000000    8.4196266579e+01    1.7081731861e+02
 252.0000000    7.6776609714e+01    2.2568896673e+02
 252.5000000    1.4679364148e+02    2.6423923888e+02
 253.0000000    1.0642372162e+03    2.4354147198e+03
 253.5000000    1.5028755932e+02    9.0786882132e+02
 254.0000000    1.9680806775e+02    2.8647692710e+02
 254.5000000    2.3065293291e+02    3.1004115152e+02
 255.0000000    7.0718322606e+02    4.9828002319e+02
 255.5000000    7.0279141688e+02    4.7693601863e+02
 256.0000000    7.1225784126e+02    4.8927177260e+02
 256.5000000    7.1350017021e+02    5.0410337040e+02
 257.0000000    7.1204755174e+02    5.0812363661e+02
 257.5000000    7.3334754149e+02    1.2469446495e+03
 258.0000000    7.3270610945e+02    5.2961868090e+02
 258.5000000    7.6635165143e+02    5.4493043536e+02
 259.0000000    7.7309236391e+02   8.4901545932e+128
 259.5000000    7.7590593698e+02    6.8455816449e+02
 260.0000000    8.1021749472e+02    6.7856823376e+02
 260.5000000    1.5241138713e+03    1.7688169625e+03
 261.0000000    1.5328544036e+03    1.8244517750e+03
 261.5000000    1.5271031525e+03                -nan
 262.0000000                -nan                -nan
 262.5000000                -nan                -nan
 263.0000000                -nan                -nan
 263.5000000                -nan                -nan
 264.0000000                -nan                -nan
 264.5000000                -nan                -nan
 265.0000000    9.5896475150e+02                -nan
 265.5000000    9.1805822792e+02    9.2100162902e+02
 266.0000000    6.3155070179e+02    8.6822733028e+02
 266.5000000                -nan                -nan
 267.0000000    6.2433418858e+02    1.1163582987e+03
 267.5000000    6.2380773875e+02    1.0316716621e+03
 268.0000000    6.0592809210e+02    8.4680686048e+02
 268.5000000    5.9339297204e+02    7.8939757785e+02
 269.0000000    5.8749824726e+02    7.9621094073e+02
 269.5000000    5.9734408081e+02    7.3947415648e+02
 270.0000000                -nan                -nan
 270.5000000                -nan                -nan
 271.0000000                -nan                -nan
 271.5000000                -nan                -nan
 272.0000000                -nan                -nan
 272.5000000                -nan    7.4540845326e+02
 273.0000000                -nan                -nan
 273.5000000    6.0149432344e+02    7.2760696079e+02
 274.0000000    5.0129898624e+02    7.6976145782e+02
 274.5000000    5.0186304472e+02    7.7090163791e+02
 275.0000000    5.1489948542e+02    7.7835699490e+02
 275.5000000    3.0944774881e+02    1.5867745630e+02
 276.0000000    1.7118675926e+02    1.5388956951e+02
 276.5000000    3.3453853701e+02    2.5789751801e+02
 277.0000000    2.8445587611e+02                -nan
 277.5000000    3.0461689967e+02    3.1001955058e+02
 278.0000000    3.0991150271e+02    2.8693049227e+02
 278.5000000    4.2105337752e+02    3.5009659649e+02
 279.0000000    3.9212856453e+02    4.8296820031e+02
 279.5000000    3.9019661748e+02    4.6728017778e+02
 280.0000000    3.9288425948e+02    4.6233161343e+02
 280.5000000    2.4749508050e+02    3.3624769746e+02
 281.0000000    2.1539907432e+02    4.9476835341e+02
 281.5000000    2.6833975822e+02    5.2698288118e+02
 282.0000000    2.3705480512e+02    5.2762945009e+02
 282.5000000    2.9198990089e+02                -nan
 283.0000000    3.5417826527e+02                -nan
 283.5000000    4.2522207721e+02    5.7615429196e+02
 284.0000000    4.2251590866e+02    5.2061422281e+02
 284.5000000    4.5626902686e+02    5.6747999702e+02
 285.0000000    1.0374066447e+03    3.5771979219e+03
 285.5000000    4.1581815686e+02    4.9337227289e+02
 286.0000000    3.8723511846e+02    5.5687591396e+02
 286.5000000    4.0836091368e+02    4.9430214073e+02
 287.0000000    4.1836957023e+02    5.7450312618e+02
 287.5000000    4.1731345312e+02    4.7263623090e+02
 288.0000000    4.6094624276e+02    5.0148634059e+02
 288.5000000    5.1859571749e+02    7.0953947065e+02
 289.0000000                -nan                -nan
 289.5000000    8.4446806563e+02                -nan
 290.0000000    4.1807602225e+02                -nan
 290.5000000    4.0103858921e+02                -nan
 291.0000000    4.3429971499e+02                -nan
 291.5000000    4.9697347500e+02                -nan
 292.0000000                -nan                -nan
 292.5000000                -nan                -nan
 293.0000000                -nan    3.2146938789e+03
 293.5000000                -nan    3.2140208853e+03
 294.0000000                -nan                -nan
 294.5000000                -nan                -nan
 295.0000000                -nan                -nan
 295.5000000                -nan                -nan
 296.0000000                -nan                -nan
 296.5000000                -nan                -nan
 297.0000000                -nan                -nan
 297.5000000                -nan    3.0960507519e+03
 298.0000000                -nan    3.1108414577e+03
 298.5000000                -nan    3.1079912527e+03
 299.0000000                -nan    3.1167364037e+03
 299.5000000    4.2062941008e+02    3.1270892163e+03
 300.0000000    4.0830177035e+02    3.1109848947e+03
 300.5000000    1.9645039297e+02    1.5891381064e+02
 301.0000000    3.8640968436e+02    2.8654641523e+02
 301.5000000    3.3390638828e+02    3.9395357311e+02
 302.0000000    3.0451087976e+02    5.4711671272e+02
 302.5000000    3.2516415158e+02                -nan
 303.0000000                -nan                -nan
 303.5000000    4.6372018719e+02                -nan
 304.0000000    4.9174747094e+02    9.8821120139e+02
 304.5000000    6.3515311754e+02    1.0185973929e+03
 305.0000000                -nan                -nan
 305.5000000                -nan                -nan
 306.0000000                -nan                -nan
 306.5000000                -nan                -nan
