#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
  10.4000000    7.1183882910e-29   -2.8653749923e-15   -1.4706713733e-24    5.1149467557e-14   -3.8083044047e-25   -8.0973808272e-13    1.3233490425e-24   -1.0955285208e-11    2.5777715173e-25   -1.5820358148e-12   -2.2105856483e-26    2.6156912963e-12   -9.3736254037e-28   -9.2864547069e-14    1.2568107457e-29    8.7474544920e-16
  10.8000000   -1.7735012457e-28   -8.6382290103e-17   -7.0143002645e-24   -1.8825010955e-13   -8.3856882001e-25   -2.1602901953e-12    2.9991481415e-24    1.9853268169e-12   -5.9749393844e-25   -4.2773004815e-12    2.7520486996e-26    1.7369921925e-12    2.9026096993e-28   -8.8173438605e-14    4.9610095826e-29    6.6615186181e-17
  11.2000000    7.3578956912e-28    1.7773467282e-14    3.3785632951e-25   -5.4276845533e-13    1.3406646281e-25   -2.1286045967e-12    6.8457417578e-25    1.8866802950e-11   -7.8680278027e-25   -6.2330463999e-12    6.6974975564e-26    5.1266708708e-13    1.3144519991e-27   -5.9005984830e-14    1.1234549222e-28   -2.0727750344e-16
  11.6000000   -7.7001666598e-28    5.3127813115e-15    4.9089498164e-24   -7.5135231291e-13    7.0478982197e-25   -7.5949931520e-13   -3.2391590051e-24    2.8379796454e-11   -2.3201810189e-25   -6.3726710179e-12    1.1379184414e-25   -1.9041076900e-13    1.8551859093e-27   -1.5077108009e-14    1.3775996854e-28   -8.5915866073e-16
  12.0000000   -4.8976383504e-28    3.6300137509e-15    4.0390906664e-25   -7.1258276677e-13   -4.2594757015e-25    6.4600076036e-13   -5.1586693555e-24    2.5841186426e-11    4.2234131898e-25   -3.6257232953e-12    1.2439845136e-25   -3.8311190864e-13    1.9652981898e-27    2.8505289634e-14    1.0093400779e-28   -9.6167159022e-16
  12.4000000   -5.6691678898e-28    2.5824960662e-15   -3.7693169977e-24   -3.4198776380e-13   -1.5083062509e-24    9.7568609990e-13   -3.3174767886e-24    1.4396696631e-11    5.5961656296e-25    1.6635021918e-12    6.2570338782e-26   -6.6449958183e-13    1.5077422643e-27    5.5746858697e-14    4.5837581209e-29   -8.4420870022e-16
  12.8000000    2.1069326505e-27    2.5782518519e-14   -1.2131210764e-24    1.2895738173e-13   -8.7116367348e-25    5.9874366248e-13    5.7753074029e-25    1.7410650224e-12    7.3878754825e-26    6.9950328217e-12   -5.0331671119e-26   -1.1820340398e-12    1.2052564021e-27    5.4495233736e-14    3.1195826398e-29    2.9501935135e-16
  13.2000000   -1.2757890500e-27   -1.5411383367e-14    1.0041771519e-24    4.5402027634e-13    6.8498958071e-25    6.4336888157e-13    3.3660206136e-24   -4.8585038464e-12   -5.2682273078e-25    9.0901771482e-12   -1.3022715782e-25   -1.3478564395e-12    1.0382986933e-27    2.2365578436e-14    8.4813154219e-30    9.5709474143e-16
  13.6000000    1.3990606245e-27    4.6888643279e-15    9.8113703346e-26    3.2216284305e-13    1.5076450892e-24    1.2982661101e-12    3.0219200190e-24   -3.3935149890e-12   -7.5509407344e-25    6.4375966027e-12   -1.1295157121e-25   -6.3775993836e-13    1.1019401550e-27   -3.2187369999e-14   -5.5138357750e-30    5.3725478072e-16
  14.0000000    3.2133975359e-27    4.7910195177e-14    9.6378213865e-25   -2.4491620683e-13    1.4016186457e-24    1.2225899949e-12    3.0973729399e-25    2.2494333213e-12   -4.8789435307e-25    5.3177349910e-13   -1.0721864250e-26    7.1719316846e-13    1.1597056008e-27   -9.4690098585e-14   -9.0672359680e-30   -5.7827364116e-16
  14.4000000   -6.7503422495e-28   -1.9583558687e-15    1.0589449324e-24   -8.2075792923e-13    7.7655720543e-25   -5.6562418689e-13   -2.5976103645e-24    7.1658212497e-12    2.8973491052e-26   -5.3381030121e-12    9.6326736031e-26    1.9314758774e-12    1.2622981907e-27   -1.4805279549e-13   -2.8489484687e-29   -1.5294467545e-15
  14.8000000   -1.2345011432e-26   -1.1433635821e-14   -1.7712312646e-24   -9.0226304638e-13   -8.6929960478e-26   -2.9284935616e-12   -3.8208706202e-24    9.9947861031e-12    4.3386880873e-25   -8.3379965557e-12    1.3818629085e-25    2.3642854759e-12    8.0101001442e-28   -1.7701840920e-13   -5.5403301721e-30   -1.8993504216e-15
  15.2000000    1.6727266180e-26    2.6591462438e-14   -2.2577502578e-24   -3.0288533664e-13   -9.7845376003e-25   -3.4596171655e-12   -3.1417982586e-24    1.1916274822e-11    4.8455432842e-25   -7.4954072813e-12    9.7554337765e-26    1.8854707799e-12    3.3623930687e-28   -1.7284485961e-13    3.5175965464e-29   -7.7571527983e-16
  15.6000000    8.1513953713e-27    1.0140225873e-14    7.4679030601e-25    5.9439218213e-13   -1.4083924653e-24   -1.1563992441e-12   -1.3768100827e-24    1.3247548048e-11    2.1463608884e-25   -3.7617748271e-12    5.0334037553e-27    8.1751929906e-13    1.0760917620e-28   -1.3036183823e-13    1.0446676636e-28    7.3252572617e-16
  16.0000000   -2.9882109693e-26   -2.3431324298e-14    1.9028971273e-24    1.2416326169e-12   -8.1544206172e-25    2.3019316050e-12    5.1290621959e-25    1.3018703150e-11   -1.6162580564e-25    7.8922171295e-13   -8.4831635622e-26   -2.9080772392e-13   -1.0111255613e-28   -5.2669671719e-14    2.1422905820e-29    1.5220914680e-15
