#       time             L^2_Ham             L^2_Mom
  47.5000000    3.1528468545e+03    1.4263863712e+04
  48.0000000    2.7539081466e+03    2.5269041531e+04
  48.5000000    4.6759902953e+03    7.3518715027e+03
  49.0000000    3.3251946281e+03    1.0731350239e+04
  49.5000000    3.2020047414e+03                 inf
  50.0000000    2.6188281826e+03                 inf
  50.5000000    2.7321096177e+02    2.0525358332e+02
  51.0000000    1.3687583873e+03    2.0103622406e+02
  51.5000000    1.3702378180e+02    1.3436920013e+02
  52.0000000    2.0593504559e+02    6.0057979506e+02
  52.5000000    2.0226817929e+02    2.3413884772e+03
  53.0000000    2.0310998564e+02    8.6452456679e+02
  53.5000000    2.1687156659e+02                -nan
  54.0000000                -nan                -nan
  54.5000000    2.3375306399e+02    1.9627760996e+03
  55.0000000    1.6250030140e+04    4.9043392916e+04
  55.5000000    2.8183331907e+02    4.9422941856e+04
  56.0000000    6.8640218068e+03    4.9459225577e+04
  56.5000000    5.9507657181e+03    4.8152415257e+04
  57.0000000    2.5399481553e+03    4.7846100366e+04
  57.5000000    2.3825955061e+03                -nan
  58.0000000    9.6271162603e+02    4.7937268413e+04
  58.5000000    4.1711874401e+02    4.7807481166e+04
  59.0000000    1.2507331490e+03    5.0404092636e+04
  59.5000000    5.7905396401e+02    5.0403699546e+04
  60.0000000    2.7320628413e+03    5.1493144563e+04
  60.5000000    2.7360965168e+03    5.1493647798e+04
  61.0000000    2.3309103663e+03    5.0509688872e+04
  61.5000000    2.5170574749e+03    5.9495054388e+04
  62.0000000    2.7626713529e+03    5.9489402427e+04
  62.5000000    1.9405881587e+03    5.9515128394e+04
  63.0000000    1.1637154461e+03                -nan
  63.5000000    1.9523769416e+03    2.2593520930e+02
  64.0000000    1.9524535809e+03    2.3357593399e+02
  64.5000000    1.3817200471e+04    6.1878451184e+02
  65.0000000    1.0951233027e+03    1.8513695771e+02
  65.5000000    2.5217360316e+03    5.4138237722e+02
  66.0000000    1.8837321198e+03                -nan
  66.5000000                -nan    1.6569721056e+05
  67.0000000    1.5557004646e+03    1.6569771929e+05
  67.5000000    1.5768228947e+03    1.6569779210e+05
  68.0000000    2.0280547882e+02    1.6569755332e+05
