#       time             L^2_Ham             L^2_Mom
 134.0000000    2.6077909697e+02                -nan
 134.5000000    2.4870124260e+02                -nan
 135.0000000    2.4325079587e+02                -nan
 135.5000000    3.1378106432e+02                -nan
 136.0000000                -nan                -nan
 136.5000000                -nan                -nan
 137.0000000    3.1712502124e+02                -nan
 137.5000000    2.8149922990e+02                -nan
 138.0000000    2.9759822342e+02                -nan
 138.5000000                -nan                -nan
 139.0000000                -nan                -nan
 139.5000000                -nan                -nan
 140.0000000                -nan                -nan
 140.5000000                -nan                -nan
 141.0000000                -nan                -nan
 141.5000000                -nan                -nan
 142.0000000                -nan                -nan
 142.5000000                -nan                -nan
 143.0000000                -nan                -nan
 143.5000000                -nan                -nan
 144.0000000                -nan                -nan
 144.5000000                -nan                -nan
 145.0000000                -nan                -nan
 145.5000000                -nan                -nan
 146.0000000                -nan                -nan
 146.5000000    3.0803483516e+02                -nan
 147.0000000    4.2598849395e+02                -nan
 147.5000000    3.3282436236e+02                -nan
 148.0000000    3.2562149818e+02                -nan
 148.5000000    3.4862877774e+02                -nan
 149.0000000    3.5750484986e+02                -nan
 149.5000000    3.6180041971e+02                -nan
 150.0000000    3.6293681281e+02                -nan
 150.5000000    7.0739467485e+01    1.8217850641e+02
 151.0000000                 inf    1.4061534020e+02
 151.5000000    4.8271932104e+01    1.2830980291e+02
 152.0000000    2.1824146636e+02    1.5108582905e+02
 152.5000000    1.8485717698e+02    2.2522288420e+02
 153.0000000    1.9636894593e+02    2.3793309643e+02
 153.5000000    1.9779699499e+02    2.0395846293e+02
 154.0000000    1.6900376111e+02    1.9168778756e+02
 154.5000000    1.6173396670e+02    2.6122521555e+02
 155.0000000    1.5928591986e+02    3.2593341703e+02
 155.5000000    2.5667585121e+02    3.4263312614e+02
 156.0000000    2.3771254077e+02    3.0950822835e+02
 156.5000000    2.7072016085e+02    3.0202725363e+02
 157.0000000    2.0154331039e+02    3.4134487846e+02
 157.5000000    1.5579018120e+02    3.3487117853e+02
 158.0000000    1.7724145958e+02    3.5980853006e+02
 158.5000000    1.4589300448e+02    3.9442193633e+02
 159.0000000    2.0207741556e+02    2.8740979073e+02
 159.5000000    2.0264535301e+02    3.1715912283e+02
 160.0000000    2.0337630533e+02                 inf
 160.5000000                -nan                -nan
 161.0000000                -nan                -nan
 161.5000000                -nan                -nan
 162.0000000                -nan                -nan
 162.5000000                -nan                -nan
 163.0000000                -nan                -nan
 163.5000000                -nan                -nan
 164.0000000                -nan                -nan
 164.5000000                -nan                -nan
 165.0000000    2.7384174132e+02    5.7636644931e+02
 165.5000000    2.7644315934e+02    5.8773754647e+02
 166.0000000    2.9492504754e+02    5.9215764185e+02
 166.5000000    2.7130009726e+02    5.7362986930e+02
 167.0000000    2.8023142392e+02    4.5311299666e+02
 167.5000000    2.8047974717e+02    5.1895169103e+02
 168.0000000    2.2095620991e+02    4.2384941473e+02
 168.5000000    2.4418520789e+02    4.6633568554e+02
 169.0000000    2.3680927229e+02    4.3820454456e+02
 169.5000000    3.0780925786e+02    4.3991724094e+02
 170.0000000    3.0133480769e+02    4.4868926873e+02
 170.5000000    2.7325101026e+02                -nan
 171.0000000    2.4473769679e+02                -nan
 171.5000000                -nan                -nan
 172.0000000    2.0899471015e+02                -nan
 172.5000000    2.2219109587e+02                -nan
 173.0000000    2.3209372757e+02                -nan
 173.5000000    2.0503695214e+02                -nan
 174.0000000    2.0608202715e+02                -nan
